Alimento,Kcal,Carbo_Netti,Prot,Grassi,Porzioni_Confezione
Cornetto,150.0,3,15,23,1
Coccowafer,123.0,,16.0,20.0,5
Bevanda cappuccino barattolo,100.0,2.0,18.0,1.0,13
Bevanda Cappucino Buste,100,1,18,0.2,5
Fusilli,155,2,15,2,3
Tagliatelle,155,2,15,2,2
Drink Caffè,98,0.4,18,0.0,1
Piadina,90,1,11,"0,9",4
Bevanda Cacao Buste,90,1,18,0.5,5
Vellutate Miste,90,0,18,0,6
